date_delivrance,lead_cat,priorite,commune,prefecture,region,nature,building_type,floors,n_units_stated,surface,resume,adp,n_permis,dossier_id,lat,lon
2026-07-15,industriel,normale,COMMUNE DE SIDI BOUKNADEL,PREFECTURE DE SALE,REGION DE RABAT-SALE-KENITRA,Construction,industriel,0,0,1030.0,industriel · 1 030 m2,LOTISSEMENT ANNASR LOT 127,GUsbdl-0085/2026,774104,34.11801,-6.71381
2026-07-15,grands_projets,haute,ARRONDISSEMENT MAARIF,PRÉFECTURE ANFA,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,hotel,7,0,417.0,hotel · R+7 · 417 m2 · sous-sol,Angle Boulevard de l'oasis et Rue des Alouettes - Quartier Oasis,GUcas-0764/2026,560263,33.55715,-7.63087
2026-07-15,industriel,normale,COMMUNE HAD SOUALEM,PROVINCE BERRECHID,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,industriel,2,0,2521.0,industriel · R+2 · 2 521 m2 · sous-sol,"LOT N°19 ET 20, LOTISSEMENT INDUSTRIEL 4EME TRANCHE DU POLE URBAIN INDUSTRIEL SAHEL LAKHYAYTA,",GUhsm-0373/2026,735097,33.42613,-7.82392
2026-07-15,equipements,haute,ARRONDISSEMENT AIN CHOCK,PRÉFECTURE AIN CHOCK,REGION DE CASABLANCA-SETTAT,Construction,education,0,0,6710.0,education · 6 710 m2,"DOUAR LMKANSSA , PROPRIETE DITE E 70",GUcas-0122/2026,578218,33.52335,-7.64483
2026-07-15,equipements,normale,COMMUNE D'AIN ATTIG,PREFECTURE SKHIRATE TEMARA,REGION DE RABAT-SALE-KENITRA,Construction,education,0,0,4108.68,education · 4 109 m2,AV.MOHAMED V-TAMESNA - Commune AIN ATIQ,GUatig-0128/2026,753056,33.87737,-6.96345
2026-07-15,lotissements,haute,COMMUNE D'AHL ANGAD,PREFECTURE D'OUJDA-ANGAD,REGION DE L'ORIENTALE,Morcellement,autre,0,0,10091.0,10 091 m2,Préfecture d'Oujda Angad C.R AHL NAGAD,GUcaan-0106/2026,732535,34.62514,-1.93416
2026-07-15,grands_projets,normale,COMMUNE DE SAADA,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,social,2,0,120.0,social · R+2 · 120 m2,Lotissement AL BAHJA TR4B lot N°400,GUcsaa-0246/2026,780381,31.55563,-8.07311
2026-07-15,grands_projets,normale,COMMUNE DE SIDI YAHYA EL GHARB,PROVINCE DE SIDI SLIMANE,REGION DE RABAT-SALE-KENITRA,Construction,social,2,0,95.0,social · R+2 · 95 m2,N° 989 RHAOUNA LOTISSEMENT,GUcsye-0183/2026,814286,34.29604,-6.30906
2026-07-15,industriel,haute,COMMUNE D'AL AAROUI,PROVINCE DE NADOR,REGION DE L'ORIENTALE,Construction,industriel,0,0,21627.0,industriel · 21 627 m2,"EL ARUIT, NADOR",GUcaao-0219/2026,791092,35.03518,-2.97903
2026-07-15,equipements,haute,COMMUNE DE DAKHLA,PROVINCE D'OUED EDDAHAB,REGION DE DAKHLA-OUED EDDAHAB,Construction,education,0,0,9184.0,education · 9 184 m2,VILLE DE DAKHLA,GUcdkl-0236/2026,807027,23.69538,-15.95694
2026-07-15,equipements,haute,COMMUNE D'AIN ATTIG,PREFECTURE SKHIRATE TEMARA,REGION DE RABAT-SALE-KENITRA,Construction,education,0,0,5740.0,education · 5 740 m2,AIN ATIQ,GUatig-0127/2026,362040,33.87181,-6.9718
2026-07-15,grands_projets,normale,COMMUNE DE SIDI YAHYA EL GHARB,PROVINCE DE SIDI SLIMANE,REGION DE RABAT-SALE-KENITRA,Construction,social,2,0,90.0,social · R+2 · 90 m2,LOTISSEMENT RHAOUNA LOT N° 740,GUcsye-0185/2026,810700,34.29694,-6.30715
2026-07-15,grands_projets,normale,COMMUNE DE SIDI BOUKNADEL,PREFECTURE DE SALE,REGION DE RABAT-SALE-KENITRA,Construction,residence,3,0,306.0,residence · R+3 · 306 m2 · sous-sol,LOTISSEMENT AL MOUNTAZAH LOT N°700 ET LOT N°703 TRANCHE II-1 BOUKNADEL-SALE,GUsbdl-0086/2026,510833,34.10653,-6.72886
2026-07-15,lotissements,haute,COMMUNE DE BEN SMIM,PROVINCE D'IFRANE,REGION DE FES-MEKNES,Morcellement,autre,0,0,26040.0,26 040 m2,BEN SMIM,GUcbsi-0017/2026,800013,33.46308,-5.21169
2026-07-15,lotissements,haute,COMMUNE DE MAJJAT,PROVINCE DE CHICHAOUA,REGION DE MARRAKECH-SAFI,Lotissement,lotissement,0,0,562000.0,lotissement · 562 000 m2,cercle caidat et commune mejjat,GUcmjt-0011/2026,538995,31.36118,-8.50644
2026-07-15,lotissements,haute,COMMUNE GHNADRA,PROVINCE SIDI BENNOUR,REGION DE CASABLANCA-SETTAT,Lotissement,lotissement,0,0,35740.0,lotissement · 35 740 m2,"RN 1 , Rue 18ET RUE 19 CENTRE LAMNAKRA SMAMRA ,LGHNADRA",GUghr-0009/2026,541595,32.58604,-8.7101
2026-07-15,lotissements,normale,COMMUNE D'AJDIR,PROVINCE D'AL HOCEIMA,REGION DE TANGER-TETOUAN-AL HOCEIMA,Lotissement,lotissement,0,0,2399.0,lotissement · 2 399 m2,LIEU DIT SFIHA,GUcajr-0040/2026,631230,35.20652,-3.9005
2026-07-14,industriel,normale,COMMUNE MEDIOUNA,PROVINCE MEDIOUNA,REGION DE CASABLANCA-SETTAT,Construction,industriel,4,0,609.0,industriel · R+4 · 609 m2 · sous-sol,ZONE INDUSTRIELLE MEDIOUNA LOT 145,GUmdn-0028/2026,803502,33.44597,-7.51411
2026-07-14,grands_projets,haute,ARRONDISSEMENT MAARIF,PRÉFECTURE ANFA,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,hotel,7,0,250.0,hotel · R+7 · 250 m2 · sous-sol,Angle Rue des Gausses et Rue Ibn Rochd El Kortobi,GUcas-0752/2026,805492,33.5828,-7.63959
2026-07-14,equipements,normale,COMMUNE EL JADIDA,PROVINCE EL JADIDA,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,sante,2,0,480.0,sante · R+2 · 480 m2 · sous-sol,"Pté dite : "" Nouri "", Rue Jabrane Khalil Jabrane -EL JADIDA-",GUejd-0510/2026,804862,31.52492,-9.49361
2026-07-14,industriel,haute,COMMUNE MOHAMMEDIA,PRÉFECTURE MOHAMMEDIA,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,industriel,0,0,84048.0,industriel · 84 048 m2,MOHAMMEDIA,GUmhd-0154/2026,324699,33.67427,-7.41386
2026-07-14,grands_projets,normale,COMMUNE SIDI BENNOUR,PROVINCE SIDI BENNOUR,REGION DE CASABLANCA-SETTAT,Construction,social,3,0,80.0,social · R+3 · 80 m2,"'LOT N° 68'', SECTEUR N° 5, TRANCHE 2, LOTISSEMENT AL FATH,(OPERATION FATH SIDI BENNOUR)",GUsdb-0163/2026,557116,32.64071,-8.40838
2026-07-14,industriel,normale,ARRONDISSEMENT DE MENARA,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,industriel,2,0,304.0,industriel · R+2 · 304 m2,Lotissement azzouzia Zone Ferrailleurs Al Karam Lot N°21E,GUcmkh-0684/2026,721122,31.68363,-8.05941
2026-07-14,grands_projets,normale,COMMUNE DE LAQSIR,PROVINCE D'EL HAJEB,REGION DE FES-MEKNES,Construction,social,1,0,63.0,social · R+1 · 63 m2,LOT R391 LOTISSEMNT LAKRAM,GUclqr-0108/2026,792510,33.95857,-5.23092
2026-07-14,industriel,haute,COMMUNE DE DCHEIRA,PROVINCE DE LAAYOUNE,REGION DE LAAYOUNE-SAKIA EL HAMRA,Modification / Aménagement,industriel,0,0,20000.0,industriel · 20 000 m2,ROUTE NATIONNALE N°05 C.T DCHEIRA,GUcdcr-0001/2026,715406,30.51056,-10.40694
2026-07-14,grands_projets,normale,COMMUNE DE LAQSIR,PROVINCE D'EL HAJEB,REGION DE FES-MEKNES,Construction,social,1,0,63.0,social · R+1 · 63 m2,LOT  N°R717 Lotissement LAKRAM TR1,GUclqr-0110/2026,690845,33.95903,-5.23114
2026-07-14,hotellerie,haute,COMMUNE SIDI HAJJAJ OUED HASSAR,PROVINCE MEDIOUNA,REGION DE CASABLANCA-SETTAT,Lotissement,hotel,3,0,28530.0,hotel · R+3 · 28 530 m2,Propriété dite : ARD NOUALA - Propriété dite : ARD LAFNANI -  Propriété dite : BLED AMOUNIR  -Propri,GUshj-0151/2026,652969,33.55414,-7.47158
2026-07-14,industriel,haute,COMMUNE NOUACEUR,PROVINCE NOUACEUR,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,industriel,0,0,74000.0,industriel · 74 000 m2,TECHNOPOLE AEROPORT MOHAMED V,GUncr-0065/2026,785740,33.36141,-7.57263
2026-07-14,equipements,haute,COMMUNE D'AGAFAY,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,education,0,0,13000.0,education · 13 000 m2,COMMUNE D'AGAFAY PREFECTURE DE MARRAKECH,GUcafy-0001/2026,627137,31.48756,-8.18808
2026-07-14,lotissements,haute,COMMUNE DE LAQSIR,PROVINCE D'EL HAJEB,REGION DE FES-MEKNES,Morcellement,autre,0,0,323581.0,323 581 m2,Province d'El Hajeb commune Laqsir douar Ait Ali Ouchaou,GUclqr-0111/2026,796299,33.86823,-5.18448
2026-07-14,industriel,haute,COMMUNE DE GUEZNAIA,PREFECTURE DE TANGER-ASSILAH,REGION DE TANGER-TETOUAN-AL HOCEIMA,Modification / Aménagement,industriel,0,0,10000.0,industriel · 10 000 m2,Route Nationale  N°1  TANGER,GUckza-0050/2026,512958,35.68407,-5.92044
2026-07-14,lotissements,haute,COMMUNE D'EL MENZEH,PREFECTURE SKHIRATE TEMARA,REGION DE RABAT-SALE-KENITRA,Lotissement,lotissement,0,0,219750.0,lotissement · 219 750 m2,PROPRIETE DITE BLAD BARGACH,GUmnzh-0015/2026,668615,33.86102,-6.85122
2026-07-14,equipements,normale,COMMUNE DE TABIA,PROVINCE D'AZILAL,REGION DE BENI MELLAL-KHENIFRA,Modification / Aménagement,sante,0,0,54.0,sante · 54 m2,DR TISLIT CT TABIA,GUctbi-0008/2026,565213,31.9747,-6.85643
2026-07-14,lotissements,haute,COMMUNE D'AIN SFA,PREFECTURE D'OUJDA-ANGAD,REGION DE L'ORIENTALE,Morcellement,autre,0,0,66380.0,66 380 m2,AIN SFA,GUcans-0023/2026,808028,34.77401,-2.02096
2026-07-14,hotellerie,haute,ARRONDISSEMENT D'ENNAKHIL,PREFECTURE DE MARRAKECH,REGION DE MARRAKECH-SAFI,Construction,hotel,0,0,60190.0,hotel · 60 190 m2,"Propriété dite « AMINE I », propriété dite « AMINE II », propriété dite « AZIZ », propriété dite « H",GUcmkh-0673/2026,816710,31.6265,-7.94243
2026-07-14,hotellerie,normale,COMMUNE D'OUARZAZATE,PROVINCE D'OUARZAZATE,REGION DE DARAA-TAFILALET,Modification / Aménagement,hotel,1,0,570.0,hotel · R+1 · 570 m2,CENTRE OUARZAZATE,GUcozz-0142/2026,762078,34.51883,-6.97816
2026-07-13,grands_projets,normale,COMMUNE ECHELLALATE,PRÉFECTURE MOHAMMEDIA,REGION DE CASABLANCA-SETTAT,Construction,residence,4,0,330.0,residence · R+4 · 330 m2 · sous-sol,LOTISSEMENT : «ASSAFA LOT P 6D» PREFECTURE  MOHAMMEDIA  Commune ECHELLALATE,GUchl-0098/2026,785911,33.63536,-7.42082
2026-07-13,grands_projets,haute,COMMUNE D'EL MENZEH,PREFECTURE SKHIRATE TEMARA,REGION DE RABAT-SALE-KENITRA,Groupement d'habitations,autre,0,0,18841.0,18 841 m2,"Propriété dite ""LAMREIS "" EL MENZEH",GUmnzh-0013/2026,561190,33.8706,-6.84543
2026-07-13,lotissements,haute,COMMUNE DE LAMJAARA,PROVINCE D'OUEZZANE,REGION DE TANGER-TETOUAN-AL HOCEIMA,Lotissement,lotissement,0,0,12424.0,lotissement · 12 424 m2,"PRO-DITE MABROUKA , AL HANAE",GUcljaa-0042/2026,433714,34.62039,-5.2927
2026-07-13,equipements,normale,COMMUNE DE TROUGOUT,PROVINCE DE DRIOUCH,REGION DE L'ORIENTALE,Construction,education,0,0,100.0,education · 100 m2,"Commune de Trougout, Douar Sahil",GUctrg-0003/2026,718396,35.25882,-3.75552
2026-07-13,equipements,normale,ARRONDISSEMENT D'AGDAL-RYAD,PREFECTURE DE RABAT,REGION DE RABAT-SALE-KENITRA,Modification / Aménagement,education,0,0,600.0,education · 600 m2,"Lot n° 5 SECTEUR 20, LOTISSEMENT HAY RYAD",GUrbt-0123/2026,320129,33.96007,-6.88028
2026-07-13,grands_projets,normale,COMMUNE ECHELLALATE,PRÉFECTURE MOHAMMEDIA,REGION DE CASABLANCA-SETTAT,Construction,residence,4,0,307.0,residence · R+4 · 307 m2 · sous-sol,"LOTTISSEMENT ''AL MAROUA P30""",GUchl-0089/2026,762783,33.62101,-7.43541
2026-07-13,hotellerie,normale,ARRONDISSEMENT ANFA,PRÉFECTURE ANFA,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,hotel,0,0,1897.0,hotel · 1 897 m2,Bd de la Corniche Ain Diab ANFA,GUcas-0744/2026,608958,33.59938,-7.66372
2026-07-13,equipements,normale,COMMUNE DAR BOUAZZA,PROVINCE NOUACEUR,REGION DE CASABLANCA-SETTAT,Modification / Aménagement,sante,1,0,454.0,sante · R+1 · 454 m2,PROPRIETE DITE KLEIN DAR BOUAZZA NOUACEUR LOT N 42,GUdbz-0301/2026,744167,30.47958,-10.6036
2026-07-13,lotissements,haute,COMMUNE D'AHL ANGAD,PREFECTURE D'OUJDA-ANGAD,REGION DE L'ORIENTALE,Morcellement,autre,0,0,20230.0,20 230 m2,COMMUNE D'AHL ANGAD,GUcaan-0113/2026,754646,34.72815,-1.8626
